dokid	anforande_nummer
GT10159	57
GT10159	58
GT10163	11
GT10163	14
GT10163	17
GT10164	80
GT10164	84
GT10164	88
GT10178	5
GT10178	8
GT10179	8
GT10179	11
GT10179	14
GT10180	7
GT10182	90
GT10182	91
GT10182	94
GT10182	95
GT10182	98
GT10182	99
GT10182	100
GT10184	16
GT10184	17
GT10184	18
GT10184	19
GT10184	20
GT10184	21
GT10184	22
GT10187	16
GT10187	20
GT10191	101
GT10191	103
GT10191	105
GT10191	107
GT10195	49
GT10195	51
GT10195	53
GT10198	31
GT10198	33
GT10198	35
GT10203	3
GT10203	7
GT10210	62
GT10210	63
GT10210	64
GT10210	65
GT10210	66
GT10210	67
GT10210	68
GT10214	15
GT10214	19
GT10216	10
GT10216	13
GT10225	16
GT10225	18
GT10225	20
GT10225	22
GT10228	19
GT10228	20
GT10228	23
GT10228	24
GT10228	27
GT10234	3
GT10234	6
GT10234	9
GT10237	31
GT10237	34
GT10239	76
GT10239	79
GT10239	82
GT10240	84
GT10240	87
GT10240	90
GT10241	4
GT10241	8
GT10243	46
GT10243	49
GT10247	23
GT10247	26
GT10256	2
GT10256	5
GT10256	8
GT10257	11
GT10257	13
GT10257	15
GT10262	22
GT10262	24
GT10262	26
GT10273	1
GT10273	3
GT10273	5
GT10273	7
GT10281	35
GT10281	37
GT10285	2
GT10285	4
GT10285	6
GT10294	57
GT10294	58
GT10294	60
GT10294	61
GT10294	62
GT10294	64
GT10294	65
GT10294	66
GT10300	56
GT10300	58
GT10300	60
GT10300	62
GT10309	22
GT10309	24
GT10309	26
GT10311	33
GT10311	37
GT10314	34
GT10314	40
GT10317	2
GT10317	4
GT10317	6
GT10320	31
GT10320	34
GT10320	37
GT10325	10
GT10326	17
GT10326	19
GT10326	21
GT10327	2
GT10327	5
GT10327	8
GT10329	17
GT10329	18
GT10329	19
GT10329	20
GT10329	21
GT10329	22
GT10329	23
GT10330	23
GT10330	25
GT10330	27
GT10330	29
GT10333	29
GT10333	31
GT10333	33
GT10335	10
GT10335	12
GT10335	14
GT10337	47
GT10337	48
GT10337	50
GT10337	51
GT10340	37
GT10340	39
GT10340	41
GT10342	125
GT10342	127
GT10342	128
GT10342	130
GT10342	131
GT10342	133
GT10342	134
GT10343	11
GT10343	13
GT10343	15
GT10345	9
GT10345	11
GT10345	13
GT10350	23
GT10350	25
GT10351	49
GT10351	51
GT10351	53
GT10352	44
GT10352	46
GT10352	48
GT10360	65
GT10360	67
GT10360	69
GT10364	37
GT10364	39
GT10364	41
GT10365	58
GT10365	60
GT10365	62
GT10368	17
GT10368	19
GT10373	21
GT10373	24
GT10374	44
GT10374	46
GT10377	56
GT10378	67
GT10378	72
GT10380	172
GT10380	174
GT10380	176
GT10383	135
GT10383	137
GT10383	139
GT10384	215
GT10384	217
GT10384	222
GT10384	223
GT10384	224
GT10389	105
GT10390	2
GT10390	7
GT10390	12
GT10393	92
GT10393	93
GT10393	95
GT10393	96
GT10393	98
GT10394	193
GT10394	196
GT10394	199
GT10396	76
GT10396	79
GT10398	225
GT10398	226
GT10398	227
GT10398	228
GT10398	229
GT10398	230
GT10398	231
GT10403	135
GT10403	137
GT10403	139
GT10403	141
GT10405	72
GT10405	75
GT10407	21
GT10407	23
GT10408	2
GT10408	5
GT10408	7
GT10408	10
GT10408	12
GT10409	48
GT10414	142
GT10414	144
GT10414	146
GT10414	148
GT10420	65
GT10420	67
GT10421	107
GT10421	109
GT10429	92
GT10429	95
GT10432	149
GT10432	151
GT10432	153
GT10432	155
GT10434	128
GT10434	131
GT10437	101
GT10437	102
GT10437	104
GT10437	106
GT10441	201
GT10441	203
GT10441	205
GT10445	114
GT10445	116
GT10445	118
GT10446	121
GT10446	123
GT10446	125
GT10451	2
GT10451	5
GT10451	8
GT10452	108
GT10452	110
GT10454	11
GT10454	12
GT10454	14
GT10454	15
GT10454	17
GT10457	50
GT10457	52
GT10457	54
GT10459	141
GT10459	143
GT10459	145
GT10460	140
GT10460	142
GT10461	144
GT10461	145
GT10461	147
GT10462	150
GT10462	153
GT10462	156
GT10467	114
GT10467	116
GT10467	118
GT10468	121
GT10468	123
GT10468	125
GT10471	232
GT10471	233
GT10471	234
GT10471	235
GT10476	62
GT10477	19
GT10477	21
GT10477	22
GT10477	24
GT10478	156
GT10478	158
GT10478	161
GT10478	163
GT10479	94
GT1052	11
GT1052	13
GT1052	15
GU01FöU10	103
GU01FöU10	105
GU01FöU10	107
GU01FöU10	109
GU01FöU10	111
GU01FöU10	112
GU01FöU10	114
GU01FöU10	116
GU01FöU10	119
GU01FöU10	121
GU01FöU10	122
GU01FöU10	124
GU01FöU10	126
GU01FöU10	128
GU01FöU10	130
GU01FöU10	141
GU01FöU10	144
GU01FöU10	146
GU01FöU10	148
GU01FöU10	150
GU01SkU9	146
GU01SkU9	150
GU10104	43
GU10104	46
GU10104	49
GU10107	26
GU10107	29
GU10108	40
GU10108	41
GU10108	42
GU10114	72
GU10114	74
GU10116	11
GU10116	13
GU10117	122
GU10117	124
GU10119	69
GU10119	70
GU10119	72
GU10119	74
GU1012	68
GU1012	70
GU10120	60
GU10120	63
GU10121	21
GU10121	23
GU10121	27
GU10123	76
GU10123	77
GU10123	78
GU10123	80
GU10123	81
GU10123	82
GU10124	52
GU10124	55
GU10125	9
GU10125	12
GU10125	15
GU10127	43
GU10127	45
GU10127	47
GU10127	49
GU10131	59
GU10131	60
GU10131	62
GU10131	63
GU10131	65
GU10131	66
GU10142	17
GU10142	18
GU10142	19
GU10142	20
GU10142	21
GU10142	22
GU10142	23
GU10150	4
GU10150	5
GU10150	8
GU10150	9
GU10151	69
GU10151	71
GU10151	73
GU10152	24
GU10152	26
GU10152	28
GU10152	30
GU10158	9
GU10158	11
GU10158	13
GU10162	10
GU10162	15
GU10162	20
GU10165	16
GU10165	18
GU10165	20
GU10168	104
GU10168	105
GU10168	107
GU10168	109
GU10168	110
GU10168	112
GU10168	114
GU10168	115
GU10175	44
GU10175	46
GU10175	48
GU10176	31
GU10176	33
GU10176	34
GU10176	36
GU10176	37
GU10176	39
GU10177	26
GU10177	27
GU10177	32
GU10177	33
GU10184	28
GU10184	30
GU10192	44
GU10194	118
GU10194	120
GU10194	122
GU10195	3
GU10196	40
GU10196	43
GU10196	46
GU10196	48
GU10198	11
GU10198	13
GU10198	15
GU10202	54
GU10205	49
GU10205	50
GU10205	51
GU10205	52
GU10205	53
GU10206	66
GU10206	70
GU10206	74
GU10207	26
GU10207	28
GU10207	30
GU10208	54
GU10208	55
GU10208	56
GU10208	57
GU10208	58
GU10208	59
GU10208	60
GU10209	34
GU10209	35
GU10209	37
GU10209	38
GU10209	40
GU10209	41
GU10213	23
GU10213	25
GU10213	27
GU10214	34
GU10214	36
GU10214	37
GU10214	39
GU10214	40
GU10215	61
GU10215	63
GU10215	64
GU10215	66
GU10215	67
GU10215	69
GU10216	3
GU10216	8
GU10216	14
GU10218	31
GU10218	35
GU10218	40
GU1022	159
GU1022	161
GU1022	163
GU10225	77
GU10225	79
GU10226	12
GU10226	16
GU10230	19
GU10230	22
GU10239	52
GU10239	54
GU10239	56
GU10240	44
GU10240	48
GU10246	28
GU10246	30
GU10246	32
GU10249	22
GU10258	101
GU10258	102
GU10258	104
GU1026	31
GU1026	33
GU1026	35
GU1026	37
GU10264	35
GU10264	37
GU10264	39
GU10266	51
GU10266	53
GU10266	56
GU10266	58
GU10266	59
GU10266	62
GU10272	3
GU10272	4
GU10272	7
GU10272	8
GU10274	55
GU10274	56
GU10274	59
GU10274	60
GU10279	67
GU10279	71
GU10281	2
GU10281	4
GU10281	6
GU10282	90
GU10282	92
GU10282	94
GU10283	98
GU10283	103
GU10283	108
GU10285	69
GU10285	75
GU1029	2
GU1029	4
GU1029	6
GU10290	113
GU10290	115
GU10290	117
GU10290	119
GU10293	94
GU10293	98
GU10298	13
GU10298	14
GU10298	16
GU10298	18
GU103	123
GU103	126
GU10307	84
GU10307	87
GU10307	88
GU10307	91
GU10309	107
GU10309	109
GU10309	111
GU1031	35
GU1031	36
GU10310	21
GU10310	23
GU10310	25
GU10313	79
GU10313	81
GU10313	83
GU10313	85
GU10313	87
GU10316	32
GU10316	34
GU10316	36
GU10318	1
GU10318	3
GU10318	5
GU10318	7
GU10322	8
GU10322	10
GU10322	12
GU10322	14
GU10326	15
GU10326	16
GU10326	17
GU10326	18
GU10326	19
GU10326	20
GU10326	21
GU10327	82
GU10327	85
GU10327	88
GU10332	9
GU10332	11
GU10332	13
GU10341	8
GU10341	10
GU10341	12
GU10341	14
GU10359	1
GU10359	3
GU10359	5
GU10359	7
GU10360	8
GU10360	9
GU10360	11
GU10360	12
GU10360	14
GU10360	15
GU10360	17
GU10370	23
GU10370	24
GU10370	25
GU10370	27
GU10370	28
GU10370	29
GU10370	31
GU10371	39
GU10374	99
GU10374	101
GU10374	105
GU10377	128
GU10377	132
GU1038	67
GU1038	69
GU1038	71
GU10382	126
GU10382	128
GU10382	130
GU10386	66
GU10386	67
GU10386	69
GU10386	70
GU10386	72
GU10389	119
GU10389	121
GU10393	15
GU10393	17
GU10393	19
GU10393	21
GU10394	36
GU10394	38
GU10394	40
GU10395	145
GU10395	147
GU10395	149
